datetime,AREXQ,WLL,cash,commission,total,returns,equity_curve,drawdown
2013-04-22 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-04-23 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-04-24 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-04-25 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-04-26 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-04-29 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-04-30 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-05-01 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-05-02 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-05-03 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-05-06 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-05-07 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-05-08 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-05-09 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-05-10 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-05-13 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-05-14 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-05-15 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-05-16 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-05-17 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-05-20 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-05-21 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-05-22 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-05-23 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-05-24 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-05-28 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-05-29 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-05-30 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-05-31 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-06-03 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
